User ID,Location,Login Time,Name,Email,Phone Number,Birth Year,Cellphone Brand,Digital Interest,Location Type
1,Port Johnathan,2024-01-22 22:42:21.083785,Matthew Ballard,matthew.ballard@outlook.com,389-3270,2002,Oppo,Travel,Urban
2,North Bailey,2024-08-31 15:09:29.617381,Nicole Green PhD,nicole.green@yahoo.com,585-3245,2000,Oppo,Shopping,Suburban
3,Ronaldberg,2024-07-22 09:22:54.121453,William Ramos,william.ramos@yahoo.com,323-7142,1999,Samsung,Music,Rural
4,West Amanda,2024-08-31 13:54:22.955823,Dr. Michael Meyer,dr..michael@yahoo.com,784-5647,1986,Vivo,Tech News,Urban
5,Sarafort,2024-10-13 19:29:12.397854,Micheal Griffith,micheal.griffith@yahoo.com,565-4150,2003,Huawei,Sport,Suburban
6,New Jamiebury,2024-03-25 22:14:39.023823,Justin Thomas,justin.thomas@yahoo.com,109-4301,1980,Xiaomi,Shopping,Rural
7,Port Henry,2024-11-20 08:36:34.133092,Stephen Willis,stephen.willis@yahoo.com,162-1852,1990,Xiaomi,Gaming,Urban
8,West Danielfurt,2024-09-23 09:48:05.289213,Candice Turner,candice.turner@yahoo.com,294-4551,1996,Xiaomi,Gaming,Suburban
9,South Leahton,2024-06-26 14:21:46.026850,Richard Smith,richard.smith@yahoo.com,993-7612,1993,Oppo,Travel,Rural
10,Shelleyport,2024-11-19 17:24:05.512022,Steven Cook,steven.cook@outlook.com,560-1618,2000,Oppo,Sport,Suburban
11,Lake Jennifer,2024-10-14 02:09:07.010166,Heather Mueller,heather.mueller@outlook.com,869-7624,2004,Apple,Gaming,Urban
12,Lake Julieland,2024-12-21 14:04:47.345684,Maxwell Alvarez,maxwell.alvarez@outlook.com,455-1379,1986,Samsung,Gaming,Urban
13,Beckborough,2024-04-30 19:50:17.627518,John Williams,john.williams@yahoo.com,369-9620,1983,Oppo,Social Media,Suburban
14,East Victorstad,2024-05-07 21:32:36.630589,Leslie Meadows,leslie.meadows@gmail.com,359-4561,2005,Samsung,Music,Suburban
15,Perezburgh,2024-08-08 14:18:04.134000,Stephen Allen,stephen.allen@gmail.com,233-2829,1989,Samsung,Fitness,Rural
16,South Jenniferchester,2024-04-05 07:36:29.547078,Karen Johnson,karen.johnson@gmail.com,527-1575,1989,Oppo,Social Media,Urban
17,New Mary,2024-09-16 10:13:19.491524,Timothy Fisher,timothy.fisher@gmail.com,565-7685,1994,Apple,Tech News,Rural
18,Aaronfurt,2024-05-10 13:55:12.853523,Clayton Gregory,clayton.gregory@gmail.com,288-9535,1983,Huawei,Music,Suburban
19,Port Monicaborough,2024-06-02 20:48:33.806114,Amy Jordan PhD,amy.jordan@outlook.com,506-3142,2000,Vivo,Tech News,Suburban
20,Vanessachester,2024-03-14 04:02:44.133941,Catherine Carson,catherine.carson@gmail.com,187-6282,2003,Huawei,Travel,Urban
21,West Ashley,2024-12-12 00:26:59.720374,Cody Coffey,cody.coffey@outlook.com,505-7262,1982,Apple,Social Media,Suburban
22,East Scottton,2024-02-07 13:50:49.447949,Tammy Smith,tammy.smith@gmail.com,951-1981,1987,Apple,Gaming,Rural
23,East Patricia,2024-10-23 21:18:43.014658,Adrian Allen,adrian.allen@outlook.com,782-6959,2002,Oppo,Tech News,Suburban
